gameid	Trial	TargetItem	UtteranceType	redUtterance	SufficientProperty	RedundantProperty	NumDistractors	NumSameDistractors	SceneVariation	speakerMessages	listenerMessages	refExp	minimal	redundant	clickedType	clickedSize	clickedColor	colorMentioned	sizeMentioned	typeMentioned	oneMentioned	theMentioned	ColorTypicality	OtherColorTypicality	OtherColor	TypicalityDiff	normTypicality	ColorTypicalityModified	ColorTypicalityUnModified	OtherColorTypicalityModified	OtherColorTypicalityUnModified	TypicalityDiffModified	normTypicalityModified	TypicalityDiffUnModified	normTypicalityUnModified
ZJtiewHmhJLnpQNvr	69	big_red_bellpepper	color	minimal	color	size redundant	4	1	0.75	red	NA	red	1	0	bellpepper	big	red	TRUE	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ZJtiewHmhJLnpQNvr	70	big_purple_coathanger	color	minimal	color	size redundant	3	1	0.6666666666666666	blue	NA	blue	1	0	coathanger	big	purple	TRUE	FALSE	FALSE	FALSE	FALSE	0.19136363636363601	0.187777777777778	orange	0.003585858585858026	0.5047289196749692	0.574166666666667	0.407	0.479473684210526	0.3	0.09469298245614105	0.5449361029013865	0.10699999999999998	0.5756718528995757
jcc6u8B77DTuckvJc	1	small_yellow_balloon	color	minimal	color	size redundant	4	2	0.5	It's the Gold one.	NA	It's the Gold one.	1	0	balloon	small	yellow	TRUE	FALSE	FALSE	TRUE	TRUE	0.661111111111111	0.693181818181818	pink	-0.03207070707070703	0.48815961215737463	0.892727272727273	0.813333333333333	0.85258064516129	0.851111111111111	0.040146627565983084	0.5115013021927247	-0.03777777777777802	0.4886515353805073
jcc6u8B77DTuckvJc	2	small_purple_stapler	size	minimal	size	color redundant	3	2	0.3333333333333333	It's the smallest stapler	NA	It's the smallest stapler	1	0	stapler	small	purple	FALSE	TRUE	TRUE	FALSE	TRUE	0.326666666666667	0.531052631578947	red	-0.20438596491228	0.3808549805686238	0.772727272727273	0.702222222222222	0.8605	0.594444444444444	-0.087772727272727	0.47312905290696067	0.10777777777777797	0.541559554413025
jcc6u8B77DTuckvJc	3	small_black_turtle	size	minimal	size	color redundant	3	1	0.6666666666666666	It's the smallest turtle.	NA	It's the smallest turtle.	1	0	turtle	small	black	FALSE	TRUE	TRUE	FALSE	TRUE	0.110526315789474	0.866666666666667	brown	-0.756140350877193	0.11310592459605051	0.664117647058823	0.539	0.826363636363636	0.807272727272727	-0.16224598930481293	0.44557261768082657	-0.268272727272727	0.40036464312242565
jcc6u8B77DTuckvJc	4	big_blue_candle	size	minimal	size	color redundant	4	4	0	It's the largest candle	NA	It's the largest candle	1	0	candle	big	blue	FALSE	TRUE	TRUE	FALSE	TRUE	0.494444444444444	0.731818181818182	red	-0.23737373737373801	0.4032125205930805	0.760555555555556	0.608	0.8232	0.853333333333333	-0.06264444444444406	0.48022281777490927	-0.24533333333333307	0.416058394160584
jcc6u8B77DTuckvJc	5	big_blue_cushion	size	minimal	size	color redundant	2	2	0	It's the largest pillow	NA	It's the largest pillow	1	0	cushion	big	blue	FALSE	TRUE	FALSE	FALSE	TRUE	0.618333333333333	0.62625	orange	-0.007916666666667016	0.49681955138935374	0.8225	0.699230769230769	0.767272727272727	0.67875	0.055227272727273014	0.5173695496783418	0.020480769230769025	0.5074314423278208
jcc6u8B77DTuckvJc	6	big_blue_butterfly	size	minimal	size	color redundant	3	3	0	Pick the largest butterfly	NA	Pick the largest butterfly	1	0	butterfly	big	blue	FALSE	TRUE	TRUE	FALSE	TRUE	0.646842105263158	0.39047619047619	purple	0.256365914786968	0.6235714803450195	0.752857142857143	0.628333333333333	0.690555555555556	0.717	0.06230158730158697	0.521581349315445	-0.088666666666667	0.46704658077304245
jcc6u8B77DTuckvJc	7	small_purple_bracelet	size	minimal	size	color redundant	4	4	0	pick the smallest bracelet	NA	pick the smallest bracelet	1	0	bracelet	small	purple	FALSE	TRUE	TRUE	FALSE	TRUE	0.564444444444444	0.514545454545455	green	0.049898989898989	0.5231230106721584	0.7465	0.644166666666667	0.718947368421053	0.67	0.02755263157894705	0.5094007578070285	-0.02583333333333304	0.49017121116043133
jcc6u8B77DTuckvJc	9	small_yellow_bellpepper	color	minimal	color	size redundant	4	3	0.25	choose the yellow bell pepper	NA	choose the yellow bell pepper	1	0	bellpepper	small	yellow	TRUE	FALSE	TRUE	FALSE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
jcc6u8B77DTuckvJc	11	big_pink_phone	color	minimal	color	size redundant	4	1	0.75	pink telephone	NA	pink telephone	1	0	phone	big	pink	TRUE	FALSE	TRUE	FALSE	FALSE	0.273157894736842	0.812380952380952	white	-0.5392230576441099	0.25163345877681065	0.504444444444444	0.341428571428571	0.516111111111111	0.33875	-0.011666666666666936	0.4942841589548175	0.0026785714285710305	0.5019690207403514
jcc6u8B77DTuckvJc	12	big_blue_scarf	size and color	redundant	size	color redundant	3	1	0.6666666666666666	largest of the blue scarfs	NA	largest of the blue scarfs	0	1	scarf	big	blue	TRUE	TRUE	FALSE	FALSE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
jcc6u8B77DTuckvJc	13	small_white_weddingcake	size and color	redundant	size	color redundant	3	2	0.3333333333333333	smallest of the white wedding cake	NA	smallest of the white wedding cake	0	1	weddingcake	small	white	TRUE	TRUE	TRUE	FALSE	TRUE	0.88625	0.400416666666667	pink	0.485833333333333	0.6887953367875645	0.781739130434783	0.745384615384615	0.760666666666667	0.443333333333333	0.021072463768116	0.5068310375284235	0.30205128205128196	0.6270491803278689
jcc6u8B77DTuckvJc	14	big_blue_book	size	minimal	size	color redundant	3	3	0	the largest book	NA	the largest book	1	0	book	big	blue	FALSE	TRUE	TRUE	FALSE	TRUE	0.67952380952381	0.853684210526316	black	-0.17416040100250607	0.44320392317123014	0.775	0.757857142857143	0.85304347826087	0.709230769230769	-0.07804347826086999	0.4760315128855654	0.04862637362637401	0.5165724130182391
jcc6u8B77DTuckvJc	22	big_red_yarn	size and color	redundant	size	color redundant	4	1	0.75	large red yarn	NA	large red yarn	0	1	yarn	big	red	TRUE	TRUE	TRUE	FALSE	FALSE	0.744444444444444	0.599090909090909	purple	0.145353535353535	0.5540936771671301	0.906	0.85	0.86	0.747	0.04600000000000004	0.5130237825594565	0.10299999999999998	0.5322479649342517
jcc6u8B77DTuckvJc	24	small_green_chair	color	minimal	color	size redundant	2	1	0.5	green chair	NA	green chair	1	0	chair	small	green	TRUE	FALSE	TRUE	FALSE	FALSE	0.164210526315789	0.606190476190476	red	-0.4419799498746869	0.2131494193044662	0.703333333333333	0.409166666666667	0.692777777777778	0.678	0.010555555555554985	0.5037803422204534	-0.26883333333333304	0.3763605702897442
jcc6u8B77DTuckvJc	31	small_grey_rock	size	minimal	size	color redundant	2	2	0	small rock	NA	small rock	1	0	rock	small	grey	FALSE	TRUE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
jcc6u8B77DTuckvJc	35	big_orange_napkin	color	minimal	color	size redundant	3	1	0.6666666666666666	Orange Napkin	NA	Orange Napkin	1	0	napkin	big	orange	TRUE	FALSE	TRUE	FALSE	FALSE	0.464347826086957	0.347058823529412	yellow	0.11728900255754504	0.5722751055916284	0.705384615384615	0.72125	0.786666666666667	0.622	-0.0812820512820519	0.4727616428939679	0.09924999999999995	0.5369439791550344
jcc6u8B77DTuckvJc	40	big_pink_bucket	size and color	redundant	size	color redundant	4	2	0.5	largest pink bucket	NA	largest pink bucket	0	1	bucket	big	pink	TRUE	TRUE	TRUE	FALSE	FALSE	0.351923076923077	0.802857142857143	red	-0.45093406593406604	0.3047532949517058	0.735357142857143	0.5025	0.913076923076923	0.741428571428571	-0.17771978021977997	0.4460943619485693	-0.23892857142857105	0.4039621016365203
jcc6u8B77DTuckvJc	41	small_green_binder	color	minimal	color	size redundant	3	3	0	green	NA	green	1	0	binder	small	green	TRUE	FALSE	FALSE	FALSE	FALSE	0.588181818181818	0.765555555555556	blue	-0.17737373737373796	0.4344873899417995	0.676153846153846	0.5825	0.673529411764706	0.642222222222222	0.0026244343891399513	0.5009722408475257	-0.05972222222222201	0.4756180539804945
jcc6u8B77DTuckvJc	42	small_green_framee	size and color	redundant	size	color redundant	2	1	0.5	small green	NA	small green	0	1	framee	small	green	TRUE	TRUE	FALSE	FALSE	FALSE	0.235	0.26	pink	-0.025000000000000022	0.47474747474747475	0.663809523809524	0.455555555555556	0.647272727272727	0.4475	0.01653679653679696	0.5063065442778844	0.008055555555555982	0.5044601661027379
jcc6u8B77DTuckvJc	43	small_blue_comb	color	minimal	color	size redundant	4	4	0	blueish one	NA	blueish one	1	0	comb	small	blue	TRUE	FALSE	FALSE	TRUE	FALSE	0.67695652173913	0.937058823529412	black	-0.26010230179028204	0.41942384483742134	0.7292	0.762727272727273	0.968666666666667	0.913333333333333	-0.23946666666666705	0.4294801319302653	-0.15060606060605997	0.45507141565720505
jcc6u8B77DTuckvJc	44	small_red_tack	color	minimal	color	size redundant	2	2	0	red tack	NA	red tack	1	0	tack	small	red	TRUE	FALSE	TRUE	FALSE	FALSE	0.781666666666667	0.705625	blue	0.07604166666666701	0.5255638044544055	0.88	0.835	0.794	0.875714285714286	0.08599999999999997	0.5256869772998806	-0.040714285714286036	0.48810020876826715
jcc6u8B77DTuckvJc	45	small_pink_hairdryer	color	minimal	color	size redundant	3	3	0	pink one	NA	pink one	1	0	hairdryer	small	pink	TRUE	FALSE	FALSE	TRUE	FALSE	0.2975	0.332	purple	-0.03450000000000003	0.4725972994440032	0.497058823529412	0.589444444444444	0.688823529411765	0.47625	-0.19176470588235295	0.4191468253968254	0.11319444444444399	0.5531083018376122
jcc6u8B77DTuckvJc	48	small_brown_belt	size and color	redundant	size	color redundant	4	3	0.25	smallest brown belt	NA	smallest brown belt	0	1	belt	small	brown	TRUE	TRUE	TRUE	FALSE	FALSE	0.870588235294118	0.909130434782609	black	-0.038542199488491025	0.4891718280713352	0.81625	0.782142857142857	0.877894736842105	0.928181818181818	-0.06164473684210492	0.48180653178517346	-0.14603896103896097	0.4573066555298227
jcc6u8B77DTuckvJc	49	big_purple_coathanger	color	minimal	color	size redundant	3	1	0.6666666666666666	purple hanger	NA	purple hanger	1	0	coathanger	big	purple	TRUE	FALSE	FALSE	FALSE	FALSE	0.19136363636363601	0.187777777777778	orange	0.003585858585858026	0.5047289196749692	0.574166666666667	0.407	0.479473684210526	0.3	0.09469298245614105	0.5449361029013865	0.10699999999999998	0.5756718528995757
jcc6u8B77DTuckvJc	51	big_green_jacket	color	minimal	color	size redundant	2	1	0.5	dark green	NA	dark green	1	0	jacket	big	green	TRUE	FALSE	FALSE	FALSE	FALSE	0.48625	0.703125	brown	-0.21687499999999998	0.40882816605359956	0.663181818181818	0.64	0.667142857142857	0.571	-0.003961038961039054	0.49851125103724314	0.06900000000000006	0.5284888521882742
jcc6u8B77DTuckvJc	52	small_blue_guitar	color	minimal	color	size redundant	4	4	0	blue	NA	blue	1	0	guitar	small	blue	TRUE	FALSE	FALSE	FALSE	FALSE	0.526842105263158	0.305238095238095	green	0.22160401002506303	0.6331626506024098	0.75	0.622352941176471	0.7665	0.628333333333333	-0.01649999999999996	0.49455984174085066	-0.005980392156861969	0.4976091557576236
jcc6u8B77DTuckvJc	54	small_purple_flower	size and color	redundant	size	color redundant	4	1	0.75	small purple	NA	small purple	0	1	flower	small	purple	TRUE	TRUE	FALSE	FALSE	FALSE	0.813703703703704	0.839230769230769	red	-0.025527065527064963	0.492278258471509	0.788947368421053	0.750714285714286	0.832857142857143	0.828333333333333	-0.04390977443609001	0.4864626796476589	-0.07761904761904703	0.47542219541616426
jcc6u8B77DTuckvJc	55	small_red_toothbrush	color	minimal	color	size redundant	4	1	0.75	red	NA	red	1	0	toothbrush	small	red	TRUE	FALSE	FALSE	FALSE	FALSE	0.752380952380952	0.776315789473684	blue	-0.02393483709273192	0.49217148946634964	0.698947368421053	0.617142857142857	0.848888888888889	0.801428571428571	-0.14994152046783604	0.4515641529393986	-0.18428571428571405	0.43504531722054385
jcc6u8B77DTuckvJc	56	big_white_shoe	size and color	redundant	size	color redundant	4	3	0.25	largest white shoe	NA	largest white shoe	0	1	shoe	big	white	TRUE	TRUE	TRUE	FALSE	FALSE	0.6905	0.3075	yellow	0.383	0.6918837675350702	0.688947368421053	0.67125	0.65	0.486666666666667	0.03894736842105295	0.5145440251572329	0.184583333333333	0.5797049298308743
jcc6u8B77DTuckvJc	60	small_purple_bike	size and color	redundant	size	color redundant	2	1	0.5	small purple	NA	small purple	0	1	bike	small	purple	TRUE	TRUE	FALSE	FALSE	FALSE	0.349	0.868	red	-0.519	0.28677074774034506	0.701666666666667	0.625	0.814736842105263	0.76	-0.11307017543859599	0.46271764910048035	-0.135	0.45126353790613716
jcc6u8B77DTuckvJc	61	big_purple_billiardball	color	minimal	color	size redundant	2	2	0	purple	NA	purple	1	0	billiardball	big	purple	TRUE	FALSE	FALSE	FALSE	FALSE	0.645294117647059	0.827826086956522	orange	-0.18253196930946303	0.4380457994062397	0.860588235294118	0.641111111111111	0.8408	0.798888888888889	0.019788235294117995	0.5058153203612276	-0.15777777777777802	0.445216049382716
jcc6u8B77DTuckvJc	65	big_pink_teacup	size and color	redundant	size	color redundant	4	2	0.5	largest purple	NA	largest purple	0	1	teacup	big	pink	TRUE	TRUE	FALSE	FALSE	FALSE	0.194615384615385	0.852592592592593	white	-0.657977207977208	0.1858421525151674	0.581111111111111	0.59	0.870952380952381	0.912	-0.28984126984127	0.4001967643200699	-0.32200000000000006	0.3928095872170439
jcc6u8B77DTuckvJc	68	big_orange_cap	color	minimal	color	size redundant	4	2	0.5	orange	NA	orange	1	0	cap	big	orange	TRUE	FALSE	FALSE	FALSE	FALSE	0.376296296296296	0.397692307692308	blue	-0.021396011396011994	0.48617808370449406	0.658064516129032	0.636153846153846	0.664	0.546666666666667	-0.005935483870967984	0.497755221549873	0.08948717948717899	0.5378278777368305
jcc6u8B77DTuckvJc	69	small_white_pingpongball	color	minimal	color	size redundant	3	2	0.3333333333333333	white	NA	white	1	0	pingpongball	small	white	TRUE	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
jcc6u8B77DTuckvJc	70	big_purple_rug	color	minimal	color	size redundant	4	3	0.25	purple	NA	purple	1	0	rug	big	purple	TRUE	FALSE	FALSE	FALSE	FALSE	0.288095238095238	0.604736842105263	blue	-0.316641604010025	0.3226757242308556	0.817222222222222	0.577142857142857	0.72	0.665454545454546	0.09722222222222199	0.5316226960607155	-0.08831168831168901	0.46446488294314353
jcc6u8B77DTuckvJc	72	big_green_pepper	color	minimal	color	size redundant	3	2	0.3333333333333333	green__The all green pepper	my screen has no images__nm__green or small red?	green	1	0	pepper	big	green	TRUE	FALSE	FALSE	FALSE	FALSE	0.873125	0.922916666666667	red	-0.04979166666666701	0.48613849901403544	0.8	0.8875	0.88875	0.847857142857143	-0.08875	0.47372316802368614	0.03964285714285698	0.5114221033134388
mQShsDQ2fwXRKAXRi	4	big_red_bike	color	minimal	color	size redundant	3	1	0.6666666666666666	the red one	NA	the red one	1	0	bike	big	red	TRUE	FALSE	FALSE	TRUE	TRUE	0.868	0.349	purple	0.519	0.7132292522596548	0.814736842105263	0.76	0.701666666666667	0.625	0.11307017543859599	0.5372823508995197	0.135	0.5487364620938628
mQShsDQ2fwXRKAXRi	5	small_yellow_shoe	size	minimal	size	color redundant	3	3	0	the tiny one	NA	the tiny one	1	0	shoe	small	yellow	FALSE	TRUE	FALSE	TRUE	TRUE	0.3075	0.6905	white	-0.383	0.30811623246492986	0.65	0.486666666666667	0.688947368421053	0.67125	-0.03894736842105295	0.4854559748427672	-0.184583333333333	0.4202950701691258
mQShsDQ2fwXRKAXRi	7	small_pink_weddingcake	color	minimal	color	size redundant	4	2	0.5	pink	NA	pink	1	0	weddingcake	small	pink	TRUE	FALSE	FALSE	FALSE	FALSE	0.400416666666667	0.88625	white	-0.485833333333333	0.3112046632124354	0.760666666666667	0.443333333333333	0.781739130434783	0.745384615384615	-0.021072463768116	0.49316896247157643	-0.30205128205128196	0.3729508196721311
mQShsDQ2fwXRKAXRi	8	big_purple_hairdryer	color	minimal	color	size redundant	4	3	0.25	purple	NA	purple	1	0	hairdryer	big	purple	TRUE	FALSE	FALSE	FALSE	FALSE	0.332	0.2975	pink	0.03450000000000003	0.5274027005559969	0.688823529411765	0.47625	0.497058823529412	0.589444444444444	0.19176470588235295	0.5808531746031745	-0.11319444444444399	0.4468916981623878
mQShsDQ2fwXRKAXRi	10	small_purple_coathanger	color	minimal	color	size redundant	2	2	0	purple	NA	purple	1	0	coathanger	small	purple	TRUE	FALSE	FALSE	FALSE	FALSE	0.19136363636363601	0.187777777777778	orange	0.003585858585858026	0.5047289196749692	0.574166666666667	0.407	0.479473684210526	0.3	0.09469298245614105	0.5449361029013865	0.10699999999999998	0.5756718528995757
mQShsDQ2fwXRKAXRi	13	small_orange_pingpongball	size	minimal	size	color redundant	3	3	0	small one	NA	small one	1	0	pingpongball	small	orange	FALSE	TRUE	FALSE	TRUE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
mQShsDQ2fwXRKAXRi	14	big_blue_butterfly	size and color	redundant	size	color redundant	4	1	0.75	large blue one	NA	large blue one	0	1	butterfly	big	blue	TRUE	TRUE	FALSE	TRUE	FALSE	0.646842105263158	0.39047619047619	purple	0.256365914786968	0.6235714803450195	0.752857142857143	0.628333333333333	0.690555555555556	0.717	0.06230158730158697	0.521581349315445	-0.088666666666667	0.46704658077304245
mQShsDQ2fwXRKAXRi	16	small_tan_rock	size	minimal	size	color redundant	4	3	0.25	small one	NA	small one	1	0	rock	small	tan	FALSE	TRUE	FALSE	TRUE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
mQShsDQ2fwXRKAXRi	19	big_yellow_bellpepper	size and color	redundant	size	color redundant	3	1	0.6666666666666666	large yellow	NA	large yellow	0	1	bellpepper	big	yellow	TRUE	TRUE	FALSE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
mQShsDQ2fwXRKAXRi	21	big_green_pepper	color	minimal	color	size redundant	2	1	0.5	green	NA	green	1	0	pepper	big	green	TRUE	FALSE	FALSE	FALSE	FALSE	0.873125	0.922916666666667	red	-0.04979166666666701	0.48613849901403544	0.8	0.8875	0.88875	0.847857142857143	-0.08875	0.47372316802368614	0.03964285714285698	0.5114221033134388
mQShsDQ2fwXRKAXRi	22	small_red_flower	color	minimal	color	size redundant	3	2	0.3333333333333333	red	NA	red	1	0	flower	small	red	TRUE	FALSE	FALSE	FALSE	FALSE	0.839230769230769	0.813703703703704	purple	0.025527065527064963	0.507721741528491	0.832857142857143	0.828333333333333	0.788947368421053	0.750714285714286	0.04390977443609001	0.5135373203523412	0.07761904761904703	0.5245778045838357
mQShsDQ2fwXRKAXRi	25	small_orange_napkin	size	minimal	size	color redundant	4	4	0	small	NA	small	1	0	napkin	small	orange	FALSE	TRUE	FALSE	FALSE	FALSE	0.464347826086957	0.347058823529412	yellow	0.11728900255754504	0.5722751055916284	0.705384615384615	0.72125	0.786666666666667	0.622	-0.0812820512820519	0.4727616428939679	0.09924999999999995	0.5369439791550344
mQShsDQ2fwXRKAXRi	29	small_green_bracelet	color	minimal	color	size redundant	2	1	0.5	green	NA	green	1	0	bracelet	small	green	TRUE	FALSE	FALSE	FALSE	FALSE	0.514545454545455	0.564444444444444	purple	-0.049898989898989	0.47687698932784167	0.718947368421053	0.67	0.7465	0.644166666666667	-0.02755263157894705	0.4905992421929716	0.02583333333333304	0.5098287888395687
mQShsDQ2fwXRKAXRi	32	small_pink_balloon	size	minimal	size	color redundant	2	2	0	small	NA	small	1	0	balloon	small	pink	FALSE	TRUE	FALSE	FALSE	FALSE	0.693181818181818	0.661111111111111	yellow	0.03207070707070703	0.5118403878426254	0.85258064516129	0.851111111111111	0.892727272727273	0.813333333333333	-0.040146627565983084	0.48849869780727534	0.03777777777777802	0.5113484646194928
mQShsDQ2fwXRKAXRi	33	big_red_bucket	size and color	redundant	size	color redundant	2	1	0.5	big red	NA	big red	0	1	bucket	big	red	TRUE	TRUE	FALSE	FALSE	FALSE	0.802857142857143	0.351923076923077	pink	0.45093406593406604	0.6952467050482943	0.913076923076923	0.741428571428571	0.735357142857143	0.5025	0.17771978021977997	0.5539056380514307	0.23892857142857105	0.5960378983634795
mQShsDQ2fwXRKAXRi	36	small_red_tack	size and color	redundant	size	color redundant	4	3	0.25	small red	NA	small red	0	1	tack	small	red	TRUE	TRUE	FALSE	FALSE	FALSE	0.781666666666667	0.705625	blue	0.07604166666666701	0.5255638044544055	0.88	0.835	0.794	0.875714285714286	0.08599999999999997	0.5256869772998806	-0.040714285714286036	0.48810020876826715
mQShsDQ2fwXRKAXRi	39	small_blue_rug	color	minimal	color	size redundant	4	4	0	blue	NA	blue	1	0	rug	small	blue	TRUE	FALSE	FALSE	FALSE	FALSE	0.604736842105263	0.288095238095238	purple	0.316641604010025	0.6773242757691444	0.72	0.665454545454546	0.817222222222222	0.577142857142857	-0.09722222222222199	0.4683773039392845	0.08831168831168901	0.5355351170568564
mQShsDQ2fwXRKAXRi	40	big_green_chair	size and color	redundant	size	color redundant	4	2	0.5	big green	NA	big green	0	1	chair	big	green	TRUE	TRUE	FALSE	FALSE	FALSE	0.164210526315789	0.606190476190476	red	-0.4419799498746869	0.2131494193044662	0.703333333333333	0.409166666666667	0.692777777777778	0.678	0.010555555555554985	0.5037803422204534	-0.26883333333333304	0.3763605702897442
mQShsDQ2fwXRKAXRi	42	small_brown_jacket	size	minimal	size	color redundant	2	1	0.5	small	NA	small	1	0	jacket	small	brown	FALSE	TRUE	FALSE	FALSE	FALSE	0.703125	0.48625	green	0.21687499999999998	0.5911718339464004	0.667142857142857	0.571	0.663181818181818	0.64	0.003961038961039054	0.501488748962757	-0.06900000000000006	0.4715111478117259
mQShsDQ2fwXRKAXRi	44	big_blue_candle	size	minimal	size	color redundant	4	2	0.5	large	NA	large	1	0	candle	big	blue	FALSE	TRUE	FALSE	FALSE	FALSE	0.494444444444444	0.731818181818182	red	-0.23737373737373801	0.4032125205930805	0.760555555555556	0.608	0.8232	0.853333333333333	-0.06264444444444406	0.48022281777490927	-0.24533333333333307	0.416058394160584
mQShsDQ2fwXRKAXRi	45	small_pink_teacup	color	minimal	color	size redundant	2	2	0	pink	NA	pink	1	0	teacup	small	pink	TRUE	FALSE	FALSE	FALSE	FALSE	0.194615384615385	0.852592592592593	white	-0.657977207977208	0.1858421525151674	0.581111111111111	0.59	0.870952380952381	0.912	-0.28984126984127	0.4001967643200699	-0.32200000000000006	0.3928095872170439
mQShsDQ2fwXRKAXRi	46	small_blue_binder	size and color	redundant	size	color redundant	3	1	0.6666666666666666	small blue	NA	small blue	0	1	binder	small	blue	TRUE	TRUE	FALSE	FALSE	FALSE	0.765555555555556	0.588181818181818	green	0.17737373737373796	0.5655126100582004	0.673529411764706	0.642222222222222	0.676153846153846	0.5825	-0.0026244343891399513	0.4990277591524743	0.05972222222222201	0.5243819460195055
mQShsDQ2fwXRKAXRi	50	small_red_scarf	size	minimal	size	color redundant	4	4	0	small	NA	small	1	0	scarf	small	red	FALSE	TRUE	FALSE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
mQShsDQ2fwXRKAXRi	51	big_purple_stapler	color	minimal	color	size redundant	3	2	0.3333333333333333	purple	NA	purple	1	0	stapler	big	purple	TRUE	FALSE	FALSE	FALSE	FALSE	0.326666666666667	0.531052631578947	red	-0.20438596491228	0.3808549805686238	0.772727272727273	0.702222222222222	0.8605	0.594444444444444	-0.087772727272727	0.47312905290696067	0.10777777777777797	0.541559554413025
mQShsDQ2fwXRKAXRi	53	small_green_guitar	color	minimal	color	size redundant	3	3	0	green	NA	green	1	0	guitar	small	green	TRUE	FALSE	FALSE	FALSE	FALSE	0.305238095238095	0.526842105263158	blue	-0.22160401002506303	0.3668373493975901	0.7665	0.628333333333333	0.75	0.622352941176471	0.01649999999999996	0.5054401582591493	0.005980392156861969	0.5023908442423765
mQShsDQ2fwXRKAXRi	56	big_orange_cap	color	minimal	color	size redundant	3	3	0	orange	NA	orange	1	0	cap	big	orange	TRUE	FALSE	FALSE	FALSE	FALSE	0.376296296296296	0.397692307692308	blue	-0.021396011396011994	0.48617808370449406	0.658064516129032	0.636153846153846	0.664	0.546666666666667	-0.005935483870967984	0.497755221549873	0.08948717948717899	0.5378278777368305
mQShsDQ2fwXRKAXRi	58	big_black_comb	color	minimal	color	size redundant	4	4	0	black	NA	black	1	0	comb	big	black	TRUE	FALSE	FALSE	FALSE	FALSE	0.937058823529412	0.67695652173913	blue	0.26010230179028204	0.5805761551625787	0.968666666666667	0.913333333333333	0.7292	0.762727272727273	0.23946666666666705	0.5705198680697346	0.15060606060605997	0.544928584342795
mQShsDQ2fwXRKAXRi	59	big_pink_framee	size and color	redundant	size	color redundant	4	1	0.75	large pink	NA	large pink	0	1	framee	big	pink	TRUE	TRUE	FALSE	FALSE	FALSE	0.26	0.235	green	0.025000000000000022	0.5252525252525253	0.647272727272727	0.4475	0.663809523809524	0.455555555555556	-0.01653679653679696	0.4936934557221157	-0.008055555555555982	0.4955398338972622
mQShsDQ2fwXRKAXRi	62	big_orange_billiardball	size	minimal	size	color redundant	3	2	0.3333333333333333	big 5	NA	big 5	1	0	billiardball	big	orange	FALSE	TRUE	FALSE	FALSE	FALSE	0.827826086956522	0.645294117647059	purple	0.18253196930946303	0.5619542005937603	0.8408	0.798888888888889	0.860588235294118	0.641111111111111	-0.019788235294117995	0.4941846796387724	0.15777777777777802	0.554783950617284
mQShsDQ2fwXRKAXRi	63	small_pink_phone	size	minimal	size	color redundant	3	2	0.3333333333333333	small oink	NA	small oink	1	0	phone	small	pink	FALSE	TRUE	FALSE	FALSE	FALSE	0.273157894736842	0.812380952380952	white	-0.5392230576441099	0.25163345877681065	0.504444444444444	0.341428571428571	0.516111111111111	0.33875	-0.011666666666666936	0.4942841589548175	0.0026785714285710305	0.5019690207403514
mQShsDQ2fwXRKAXRi	64	big_orange_cushion	color	minimal	color	size redundant	4	1	0.75	orange	NA	orange	1	0	cushion	big	orange	TRUE	FALSE	FALSE	FALSE	FALSE	0.62625	0.618333333333333	blue	0.007916666666667016	0.5031804486106463	0.767272727272727	0.67875	0.8225	0.699230769230769	-0.055227272727273014	0.48263045032165824	-0.020480769230769025	0.49256855767217933
mQShsDQ2fwXRKAXRi	66	small_black_book	color	minimal	color	size redundant	3	1	0.6666666666666666	black	NA	black	1	0	book	small	black	TRUE	FALSE	FALSE	FALSE	FALSE	0.853684210526316	0.67952380952381	blue	0.17416040100250607	0.5567960768287697	0.85304347826087	0.709230769230769	0.775	0.757857142857143	0.07804347826086999	0.5239684871144347	-0.04862637362637401	0.4834275869817608
mQShsDQ2fwXRKAXRi	69	small_blue_toothbrush	color	minimal	color	size redundant	4	1	0.75	blue	NA	blue	1	0	toothbrush	small	blue	TRUE	FALSE	FALSE	FALSE	FALSE	0.776315789473684	0.752380952380952	red	0.02393483709273192	0.5078285105336503	0.848888888888889	0.801428571428571	0.698947368421053	0.617142857142857	0.14994152046783604	0.5484358470606014	0.18428571428571405	0.564954682779456
